Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age_on_2024,Spent,AcceptedCmp
2,4,58138,0,0,635,88,546,172,88,88,3,8,10,4,7,1,67,1617,0
2,4,46344,1,1,11,1,6,2,1,6,2,1,1,2,5,0,70,27,0
2,5,71613,0,0,426,49,127,111,21,42,1,8,2,10,4,0,59,776,0
2,5,26646,1,0,11,4,20,10,3,5,2,2,0,4,6,0,40,53,0
4,3,58293,1,0,173,43,118,46,27,15,5,5,3,6,5,0,43,422,0
3,5,62513,0,1,520,42,98,0,42,14,2,6,4,10,6,0,57,716,0
2,2,55635,0,1,235,65,164,50,49,27,4,7,3,7,6,0,53,590,0
4,3,33454,1,0,76,10,56,3,1,23,2,4,0,4,8,0,39,169,0
4,5,30351,1,0,14,0,24,3,3,2,1,3,0,2,9,1,50,46,0
4,5,5648,1,1,28,0,6,1,1,13,1,1,0,0,20,0,74,49,1
1,3,7500,0,0,6,16,11,11,1,16,1,2,0,3,8,0,48,61,0
2,2,63033,0,0,194,61,480,225,112,30,1,3,4,8,2,0,65,1102,0
3,2,59354,1,1,233,2,53,3,5,14,3,6,1,5,6,0,72,310,0
2,3,17323,0,0,3,14,17,6,1,5,1,1,0,3,8,0,37,46,0
4,4,82800,0,0,1006,22,115,59,68,45,1,7,6,12,3,1,78,1315,2
2,3,41850,1,1,53,5,19,2,13,4,3,3,0,3,8,0,44,96,0
2,5,37760,0,0,84,5,38,150,12,28,2,4,1,6,7,0,78,317,0
3,3,76995,0,1,1012,80,498,0,16,176,2,11,4,9,5,0,75,1782,1
0,4,33812,1,0,4,17,19,30,24,39,2,2,1,3,6,0,39,133,0
2,3,37040,0,0,86,2,73,69,38,48,1,4,2,5,8,0,42,316,0
2,3,2447,1,0,1,1,1725,1,1,1,15,0,28,0,1,0,45,1730,0
4,3,58607,0,1,867,0,86,0,0,19,3,2,3,9,8,0,75,972,1
4,3,65324,0,1,384,0,102,21,32,5,3,6,2,9,4,0,70,544,0
2,5,40689,0,1,270,3,27,39,6,99,7,7,1,5,8,0,73,444,0
2,4,18589,0,0,6,4,25,15,12,13,2,2,1,3,7,0,55,75,0
2,3,53359,1,1,173,4,30,3,6,41,4,5,1,4,7,0,48,257,0
2,3,38360,1,0,36,2,42,20,21,10,2,2,1,4,3,0,35,131,0
4,3,84618,0,0,684,100,801,21,66,0,1,6,9,10,2,0,59,1672,1
3,2,10979,0,0,8,4,10,2,2,4,2,3,0,3,5,0,35,30,0
3,5,38620,0,0,112,17,44,34,22,89,1,2,5,3,3,0,61,318,0
2,5,40548,0,1,110,0,5,2,0,3,2,2,1,4,5,0,54,120,1
4,2,46610,0,2,96,12,96,33,22,43,6,4,1,6,6,1,72,302,0
3,3,68657,0,0,482,34,471,119,68,22,1,3,5,9,7,0,78,1196,0
3,4,49389,1,1,40,0,19,2,1,3,1,2,0,3,7,0,73,65,0
4,3,67353,0,1,702,17,151,0,8,35,5,5,6,12,2,0,54,913,0
0,3,23718,1,0,6,3,14,15,7,36,3,3,1,2,7,0,48,81,0
2,6,42429,0,1,55,0,6,2,0,4,2,1,1,3,5,0,51,67,0
4,2,48948,0,0,437,8,206,160,49,42,2,7,10,5,6,1,81,902,1
2,3,80011,0,1,421,76,536,82,178,102,2,8,6,5,4,0,44,1395,0
3,3,20559,1,0,13,1,29,3,0,7,2,2,0,3,8,0,39,53,0
2,5,21994,0,1,9,0,6,3,1,3,1,0,0,3,5,0,67,22,0
3,3,7500,1,0,3,1,10,3,2,12,3,2,0,3,5,0,49,31,0
2,4,79941,0,0,123,164,266,227,30,174,1,2,4,9,1,0,48,984,0
0,3,7500,0,0,3,18,14,15,22,50,3,3,1,3,9,1,28,122,0
2,5,41728,1,0,13,6,15,3,5,13,1,2,0,2,10,0,56,55,0
4,3,72550,1,1,826,50,317,50,38,38,9,5,2,12,8,0,70,1319,0
2,6,65486,0,1,245,19,125,37,67,14,1,4,2,10,2,0,67,507,0
3,3,79143,0,0,650,37,780,27,167,32,1,6,9,13,3,0,60,1693,0
2,4,35790,1,0,12,6,20,30,1,3,2,2,0,3,7,0,47,72,0
2,2,82582,0,0,510,120,550,156,40,241,1,4,9,7,1,1,47,1617,2
2,3,66373,1,1,328,9,124,12,24,109,7,4,2,10,3,0,46,606,0
3,5,82384,0,0,984,51,432,180,120,190,1,3,10,13,1,1,69,1957,1
2,2,70287,0,0,295,35,482,121,120,40,1,5,5,10,3,1,58,1093,0
